Index,Player,Nation,Position,Age,Matches Played (MP),Starts,Minutes Played (Min),90s Played (90s),Goals (Gls),Assists (Ast),Goals + Assists (G+A),Non-Penalty Goals (G-PK),Penalty Kicks Made (PK),Penalty Kicks Attempted (PKatt),Yellow Cards (CrdY),Red Cards (CrdR),Expected Goals (xG),Non-Penalty xG (npxG),Expected Assisted Goals (xAG),Non-Penalty xG + Assisted Goals (npxG+xAG),Progressive Carries (PrgC),Progressive Passes (PrgP),Progressive Passes Received (PrgR),Goals per 90 Minutes (Gls/90),Assists per 90 Minutes (Ast/90),Goals + Assists per 90 Minutes (G+A/90),Non-Penalty Goals per 90 Minutes (G-PK/90),Goals + Assists minus Penalty Kicks per 90 Minutes (G+A-PK/90),Expected Goals per 90 Minutes (xG/90),Expected Assisted Goals per 90 Minutes (xAG/90),Expected Goals + Assisted Goals per 90 Minutes (xG+xAG/90),Non-Penalty Expected Goals per 90 Minutes (npxG/90),Non-Penalty xG + Assisted Goals per 90 Minutes (npxG+xAG/90),Team,Season,Matches Played (MP)
3,Lucas Robertone,ar ARG,MF,26,33,29,2381,26.5,0,5,5,0,0,0,11,0,1,1,2.5,3.5,31,128,37,0,0.19,0.19,0,0.19,0.04,0.1,0.13,0.04,0.13,Almeria,2023-2024,
4,Chumi,es ESP,DF,24,31,26,2434,27,0,1,1,0,0,0,4,0,1,1,1.4,2.4,11,68,4,0,0.04,0.04,0,0.04,0.04,0.05,0.09,0.04,0.09,Almeria,2023-2024,
5,Dion Lopy,sn SEN,MF,21,30,23,1916,21.3,0,0,0,0,0,0,5,0,1.3,1.3,1.2,2.4,23,90,19,0,0,0,0,0,0.06,0.05,0.11,0.06,0.11,Almeria,2023-2024,
6,Sergio Arribas,es ESP,"MF,FW",21,34,22,2047,22.7,9,4,13,9,0,0,1,0,8.6,8.6,3.7,12.2,56,81,94,0.4,0.18,0.57,0.4,0.57,0.38,0.16,0.54,0.38,0.54,Almeria,2023-2024,
7,Marc Pubill,es ESP,DF,20,23,22,1883,20.9,1,3,4,1,0,0,2,0,0.7,0.7,1.5,2.2,59,36,85,0.05,0.14,0.19,0.05,0.19,0.03,0.07,0.1,0.03,0.1,Almeria,2023-2024,
8,Lï¿½ï¿½o Baptis,br BRA,FW,30,32,22,1837,20.4,6,0,6,6,0,0,6,1,5.3,5.3,1.8,7.1,26,45,88,0.29,0,0.29,0.29,0.29,0.25,0.09,0.34,0.25,0.34,Almeria,2023-2024,
9,Cï¿½ï¿½sar Mo,mx MEX,DF,26,21,21,1788,19.9,0,0,0,0,0,0,5,0,0.7,0.7,0.2,0.9,7,52,2,0,0,0,0,0,0.04,0.01,0.04,0.04,0.04,Almeria,2023-2024,
10,Sergio Akieme,es ESP,DF,25,19,19,1675,18.6,2,0,2,2,0,0,2,0,1.2,1.2,2.2,3.3,27,28,72,0.11,0,0.11,0.11,0.11,0.06,0.12,0.18,0.06,0.18,Almeria,2023-2024,
11,Largie Ramazani,be BEL,"FW,MF",22,29,16,1555,17.3,3,5,8,3,0,0,11,2,4.7,4.7,5.7,10.5,59,42,104,0.17,0.29,0.46,0.17,0.46,0.27,0.33,0.6,0.27,0.6,Almeria,2023-2024,
12,Iddrisu Baba,gh GHA,MF,27,25,14,1430,15.9,0,0,0,0,0,0,5,0,0.7,0.7,0.6,1.3,1,60,5,0,0,0,0,0,0.05,0.04,0.08,0.05,0.08,Almeria,2023-2024,
