Index,Player,Nation,Team,Position,Age,Matches Played (MP),Starts,Minutes Played (Min),90s Played (90s),Goals (Gls),Assists (Ast),Goals + Assists (G+A),Non-Penalty Goals (G-PK),Penalty Kicks Made (PK),Penalty Kicks Attempted (PKatt),Yellow Cards (CrdY),Red Cards (CrdR),Expected Goals (xG),Non-Penalty xG (npxG),Expected Assisted Goals (xAG),Non-Penalty xG + Assisted Goals (npxG+xAG),Progressive Carries (PrgC),Progressive Passes (PrgP),Progressive Passes Received (PrgR),Goals per 90 Minutes (Gls/90),Assists per 90 Minutes (Ast/90),Goals + Assists per 90 Minutes (G+A/90),Non-Penalty Goals per 90 Minutes (G-PK/90),Goals + Assists minus Penalty Kicks per 90 Minutes (G+A-PK/90),Expected Goals per 90 Minutes (xG/90),Expected Assisted Goals per 90 Minutes (xAG/90),Expected Goals + Assisted Goals per 90 Minutes (xG+xAG/90),Non-Penalty Expected Goals per 90 Minutes (npxG/90),Non-Penalty xG + Assisted Goals per 90 Minutes (npxG+xAG/90),Unnamed: 35,Season,Matches Played (MP).1
23,Umar Sadiq,ng NGA,Almeria,FW,25.0,,3,240.0,2.7,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.5,1.5,0.2,1.6,5.0,2.0,7.0,0.75,0.0,0.75,0.75,0.75,0.55,0.06,0.61,0.55,0.61,Matches,2021-2022,3.0
24,Fernando Pacheco,es ESP,Almeria,GK,30.0,,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,1.0
25,Diego Mariño,es ESP,Almeria,GK,32.0,,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,1.0
26,Curro,es ESP,Almeria,MF,26.0,,0,43.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.19,0.44,0.63,0.19,0.63,Matches,2021-2022,2.0
27,José Carlos Lazo,es ESP,Almeria,"MF,FW",26.0,,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.27,0.27,Matches,2021-2022,1.0
28,Marko Milovanović,rs SRB,Almeria,FW,18.0,,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.3,Matches,2021-2022,2.0
0,Jan Oblak,si SVN,AM,GK,28.0,,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,38.0
1,Koke,es ESP,AM,MF,29.0,,29,2508.0,27.9,1.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,1.0,1.0,1.5,2.4,28.0,197.0,53.0,0.04,0.07,0.11,0.04,0.11,0.03,0.05,0.09,0.03,0.09,Matches,2021-2022,31.0
2,Marcos Llorente,es ESP,AM,"MF,DF",26.0,,29,2447.0,27.2,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.7,0.7,2.6,3.3,63.0,81.0,181.0,0.0,0.07,0.07,0.0,0.07,0.02,0.1,0.12,0.02,0.12,Matches,2021-2022,29.0
3,Yannick Carrasco,be BEL,AM,"FW,MF",27.0,,28,2583.0,28.7,6.0,6.0,12.0,4.0,2.0,2.0,5.0,0.0,5.3,3.8,7.0,10.8,141.0,84.0,263.0,0.21,0.21,0.42,0.14,0.35,0.18,0.24,0.43,0.13,0.38,Matches,2021-2022,34.0
4,Stefan Savić,me MNE,AM,DF,30.0,,28,2440.0,27.1,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.9,1.9,0.1,2.0,30.0,74.0,6.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.08,0.07,0.08,Matches,2021-2022,28.0
5,Rodrigo De Paul,ar ARG,AM,MF,27.0,,24,2151.0,23.9,3.0,1.0,4.0,3.0,0.0,0.0,7.0,0.0,1.6,1.6,4.6,6.2,65.0,162.0,53.0,0.13,0.04,0.17,0.13,0.17,0.07,0.19,0.26,0.07,0.26,Matches,2021-2022,36.0
6,José María Giménez,uy URU,AM,DF,26.0,,24,2042.0,22.7,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,1.7,1.7,0.9,2.6,5.0,44.0,2.0,0.04,0.04,0.09,0.04,0.09,0.08,0.04,0.11,0.08,0.11,Matches,2021-2022,24.0
7,Geoffrey Kondogbia,cf CTA,AM,"MF,DF",28.0,,21,1882.0,20.9,1.0,2.0,3.0,1.0,0.0,0.0,13.0,2.0,0.4,0.4,0.9,1.3,11.0,76.0,7.0,0.05,0.1,0.14,0.05,0.14,0.02,0.04,0.06,0.02,0.06,Matches,2021-2022,28.0
8,Mario Hermoso,es ESP,AM,DF,26.0,,21,1865.0,20.7,2.0,1.0,3.0,2.0,0.0,0.0,6.0,1.0,2.2,2.2,0.8,2.9,38.0,123.0,21.0,0.1,0.05,0.14,0.1,0.14,0.1,0.04,0.14,0.1,0.14,Matches,2021-2022,26.0
9,Ángel Correa,ar ARG,AM,"FW,MF",26.0,,21,1856.0,20.6,12.0,5.0,17.0,12.0,0.0,0.0,3.0,1.0,7.3,7.3,3.7,11.0,38.0,65.0,149.0,0.58,0.24,0.82,0.58,0.82,0.35,0.18,0.53,0.35,0.53,Matches,2021-2022,36.0
10,Antoine Griezmann,fr FRA,AM,"FW,MF",30.0,,21,1695.0,18.8,3.0,4.0,7.0,3.0,0.0,0.0,3.0,0.0,5.1,5.1,3.1,8.2,39.0,53.0,126.0,0.16,0.21,0.37,0.16,0.37,0.27,0.17,0.44,0.27,0.44,Matches,2021-2022,26.0
11,Luis Suárez,uy URU,AM,FW,34.0,,20,1835.0,20.4,11.0,2.0,13.0,9.0,2.0,3.0,7.0,0.0,10.0,7.7,1.3,8.9,16.0,40.0,105.0,0.54,0.1,0.64,0.44,0.54,0.49,0.06,0.55,0.38,0.44,Matches,2021-2022,35.0
12,Thomas Lemar,fr FRA,AM,MF,25.0,,17,1440.0,16.0,4.0,5.0,9.0,4.0,0.0,0.0,2.0,0.0,3.4,3.4,3.3,6.8,54.0,95.0,92.0,0.25,0.31,0.56,0.25,0.56,0.21,0.21,0.42,0.21,0.42,Matches,2021-2022,24.0
13,Felipe,br BRA,AM,DF,32.0,,15,1504.0,16.7,2.0,1.0,3.0,2.0,0.0,0.0,5.0,1.0,0.7,0.7,0.4,1.1,5.0,32.0,2.0,0.12,0.06,0.18,0.12,0.18,0.04,0.02,0.07,0.04,0.07,Matches,2021-2022,26.0
14,Reinildo Mandava,mz MOZ,AM,DF,27.0,,15,1298.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.5,0.5,0.1,0.5,15.0,43.0,25.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches,2021-2022,17.0
15,João Félix,pt POR,AM,"FW,MF",21.0,,13,1263.0,14.0,8.0,4.0,12.0,8.0,0.0,0.0,3.0,1.0,5.7,5.7,4.7,10.4,42.0,49.0,82.0,0.57,0.29,0.86,0.57,0.86,0.41,0.33,0.74,0.41,0.74,Matches,2021-2022,24.0
16,Renan Lodi,br BRA,AM,DF,23.0,,13,1181.0,13.1,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,0.7,0.7,1.8,2.5,39.0,32.0,88.0,0.15,0.15,0.3,0.15,0.3,0.05,0.14,0.19,0.05,0.19,Matches,2021-2022,29.0
17,Kieran Trippier,eng ENG,AM,"DF,FW",30.0,,12,976.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.4,14.0,80.0,70.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches,2021-2022,15.0
18,Šime Vrsaljko,hr CRO,AM,DF,29.0,,10,914.0,10.2,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,1.3,1.3,0.5,1.7,27.0,45.0,39.0,0.1,0.2,0.3,0.1,0.3,0.12,0.05,0.17,0.12,0.17,Matches,2021-2022,21.0
19,Matheus Cunha,br BRA,AM,FW,22.0,,8,1063.0,11.8,6.0,4.0,10.0,6.0,0.0,0.0,3.0,0.0,5.8,5.8,2.2,8.0,16.0,20.0,61.0,0.51,0.34,0.85,0.51,0.85,0.49,0.19,0.68,0.49,0.68,Matches,2021-2022,29.0
20,Héctor Herrera,mx MEX,AM,MF,31.0,,8,859.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,0.5,0.8,14.0,60.0,15.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.04,0.09,Matches,2021-2022,21.0
21,Saúl Ñíguez,es ESP,AM,"FW,MF",26.0,,2,201.0,2.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,4.0,5.0,10.0,0.0,0.45,0.45,0.0,0.45,0.14,0.05,0.19,0.14,0.19,Matches,2021-2022,3.0
22,Javier Serrano,es ESP,AM,MF,18.0,,1,68.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,5.0
23,Daniel Wass,dk DEN,AM,"DF,FW",32.0,,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,1.0
24,Carlos Martín,es ESP,AM,DF,19.0,,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,1.0
25,Giuliano Simeone,ar ARG,AM,MF,18.0,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,1.0
0,Sergio Busquets,es ESP,Barcelona,MF,33.0,,36,3198.0,35.5,2.0,0.0,2.0,2.0,0.0,0.0,12.0,0.0,0.6,0.6,1.7,2.3,24.0,291.0,36.0,0.06,0.0,0.06,0.06,0.06,0.02,0.05,0.07,0.02,0.07,Matches,2021-2022,36.0
1,Marc-André ter Stegen,de GER,Barcelona,GK,29.0,,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,35.0
2,Jordi Alba,es ESP,Barcelona,DF,32.0,,30,2644.0,29.4,2.0,10.0,12.0,2.0,0.0,0.0,11.0,0.0,1.5,1.5,7.1,8.7,47.0,291.0,213.0,0.07,0.34,0.41,0.07,0.41,0.05,0.24,0.29,0.05,0.29,Matches,2021-2022,30.0
3,Frenkie de Jong,nl NED,Barcelona,MF,24.0,,30,2476.0,27.5,3.0,3.0,6.0,3.0,0.0,0.0,7.0,1.0,4.8,4.8,3.4,8.2,78.0,206.0,121.0,0.11,0.11,0.22,0.11,0.22,0.18,0.12,0.3,0.18,0.3,Matches,2021-2022,32.0
4,Gavi,es ESP,Barcelona,"MF,FW",16.0,,28,2316.0,25.7,2.0,5.0,7.0,2.0,0.0,0.0,11.0,1.0,3.6,3.6,3.2,6.8,72.0,115.0,160.0,0.08,0.19,0.27,0.08,0.27,0.14,0.12,0.26,0.14,0.26,Matches,2021-2022,34.0
5,Ronald Araújo,uy URU,Barcelona,DF,22.0,,25,2272.0,25.2,4.0,0.0,4.0,4.0,0.0,0.0,6.0,0.0,1.5,1.5,1.2,2.8,30.0,91.0,14.0,0.16,0.0,0.16,0.16,0.16,0.06,0.05,0.11,0.06,0.11,Matches,2021-2022,30.0
6,Gerard Piqué,es ESP,Barcelona,DF,34.0,,25,2092.0,23.2,1.0,0.0,1.0,1.0,0.0,0.0,10.0,1.0,1.6,1.6,0.5,2.1,25.0,132.0,4.0,0.04,0.0,0.04,0.04,0.04,0.07,0.02,0.09,0.07,0.09,Matches,2021-2022,27.0
7,Eric García,es ESP,Barcelona,DF,20.0,,23,2039.0,22.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.2,0.2,0.1,0.3,36.0,137.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,2021-2022,26.0
8,Memphis,nl NED,Barcelona,FW,27.0,,20,1851.0,20.6,12.0,2.0,14.0,8.0,4.0,5.0,3.0,0.0,11.2,7.3,4.4,11.7,83.0,72.0,239.0,0.58,0.1,0.68,0.39,0.49,0.54,0.21,0.76,0.35,0.57,Matches,2021-2022,28.0
9,Sergiño Dest,us USA,Barcelona,"DF,FW",20.0,,17,1512.0,16.8,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,1.1,1.1,2.5,3.7,75.0,81.0,158.0,0.0,0.18,0.18,0.0,0.18,0.07,0.15,0.22,0.07,0.22,Matches,2021-2022,21.0
10,Ferrán Torres,es ESP,Barcelona,FW,21.0,,17,1412.0,15.7,4.0,4.0,8.0,3.0,1.0,1.0,1.0,0.0,7.0,6.2,3.1,9.4,34.0,53.0,215.0,0.25,0.25,0.51,0.19,0.45,0.45,0.2,0.65,0.4,0.6,Matches,2021-2022,18.0
11,Ousmane Dembélé,fr FRA,Barcelona,FW,24.0,,15,1409.0,15.7,1.0,13.0,14.0,1.0,0.0,0.0,3.0,0.0,2.6,2.6,8.3,10.9,128.0,70.0,201.0,0.06,0.83,0.89,0.06,0.89,0.17,0.53,0.7,0.17,0.7,Matches,2021-2022,21.0
12,Dani Alves,br BRA,Barcelona,DF,38.0,,13,1098.0,12.2,1.0,3.0,4.0,1.0,0.0,0.0,2.0,1.0,0.3,0.3,2.3,2.5,33.0,72.0,25.0,0.08,0.25,0.33,0.08,0.33,0.02,0.19,0.21,0.02,0.21,Matches,2021-2022,14.0
13,Pierre-Emerick Aubameyang,ga GAB,Barcelona,FW,32.0,,13,1082.0,12.0,11.0,1.0,12.0,11.0,0.0,0.0,0.0,0.0,7.8,7.8,1.1,8.9,16.0,16.0,79.0,0.91,0.08,1.0,0.91,1.0,0.65,0.09,0.74,0.65,0.74,Matches,2021-2022,17.0
14,Nicolás González,es ESP,Barcelona,MF,19.0,,12,1114.0,12.4,2.0,1.0,3.0,2.0,0.0,0.0,6.0,0.0,1.4,1.4,0.8,2.2,37.0,65.0,45.0,0.16,0.08,0.24,0.16,0.24,0.11,0.07,0.18,0.11,0.18,Matches,2021-2022,27.0
15,Pedri,es ESP,Barcelona,MF,18.0,,10,885.0,9.8,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.3,1.3,1.2,2.5,23.0,84.0,42.0,0.31,0.1,0.41,0.31,0.41,0.13,0.12,0.25,0.13,0.25,Matches,2021-2022,12.0
16,Óscar Mingueza,es ESP,Barcelona,DF,22.0,,9,894.0,9.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.9,1.2,13.0,43.0,40.0,0.0,0.1,0.1,0.0,0.1,0.03,0.09,0.12,0.03,0.12,Matches,2021-2022,19.0
17,Clément Lenglet,fr FRA,Barcelona,DF,26.0,,7,826.0,9.2,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.3,0.5,19.0,80.0,1.0,0.0,0.11,0.11,0.0,0.11,0.02,0.04,0.05,0.02,0.05,Matches,2021-2022,21.0
18,Luuk de Jong,nl NED,Barcelona,FW,30.0,,6,654.0,7.3,6.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,4.6,4.6,0.2,4.8,4.0,9.0,48.0,0.83,0.0,0.83,0.83,0.83,0.63,0.03,0.67,0.63,0.67,Matches,2021-2022,21.0
19,Abde Ezzalzouli,ma MAR,Barcelona,FW,19.0,,6,580.0,6.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.3,1.3,0.9,2.2,47.0,8.0,76.0,0.16,0.0,0.16,0.16,0.16,0.2,0.14,0.33,0.2,0.33,Matches,2021-2022,10.0
20,Philippe Coutinho,br BRA,Barcelona,"MF,FW",29.0,,5,503.0,5.6,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,3.1,2.3,0.3,2.5,22.0,35.0,49.0,0.36,0.0,0.36,0.18,0.18,0.55,0.04,0.6,0.41,0.46,Matches,2021-2022,12.0
21,Sergi Roberto,es ESP,Barcelona,"MF,DF",29.0,,4,400.0,4.4,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.5,1.5,0.4,1.9,6.0,15.0,15.0,0.45,0.23,0.68,0.45,0.68,0.33,0.1,0.43,0.33,0.43,Matches,2021-2022,9.0
22,Adama Traoré,es ESP,Barcelona,FW,25.0,,4,382.0,4.2,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.9,1.6,34.0,10.0,55.0,0.0,0.47,0.47,0.0,0.47,0.16,0.21,0.37,0.16,0.37,Matches,2021-2022,11.0
23,Ferran Jutglà,es ESP,Barcelona,FW,22.0,,4,301.0,3.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.6,1.6,0.2,1.8,10.0,4.0,38.0,0.3,0.0,0.3,0.3,0.3,0.48,0.07,0.55,0.48,0.55,Matches,2021-2022,6.0
24,Ansu Fati,es ESP,Barcelona,FW,18.0,,3,336.0,3.7,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.3,1.3,0.4,1.8,20.0,9.0,49.0,1.07,0.0,1.07,1.07,1.07,0.36,0.12,0.47,0.36,0.47,Matches,2021-2022,10.0
25,Neto,br BRA,Barcelona,GK,32.0,,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,2021-2022,3.0
26,Antoine Griezmann,fr FRA,Barcelona,FW,30.0,,3,263.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,5.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,2021-2022,3.0
27,Martin Braithwaite,dk DEN,Barcelona,FW,30.0,,3,235.0,2.6,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.9,0.9,1.2,2.1,5.0,4.0,24.0,0.77,0.38,1.15,0.77,1.15,0.33,0.46,0.79,0.33,0.79,Matches,2021-2022,4.0
28,Riqui Puig,es ESP,Barcelona,MF,21.0,,2,487.0,5.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.2,0.9,9.0,40.0,24.0,0.18,0.0,0.18,0.18,0.18,0.12,0.04,0.16,0.12,0.16,Matches,2021-2022,15.0
29,Yusuf Demir,at AUT,Barcelona,FW,18.0,,2,192.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,3.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,2021-2022,6.0
30,Alejandro Balde,es ESP,Barcelona,"DF,FW",17.0,,2,188.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,9.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches,2021-2022,5.0
31,Sergio Agüero,ar ARG,Barcelona,FW,33.0,,2,151.0,1.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,1.1,4.0,3.0,13.0,0.6,0.0,0.6,0.6,0.6,0.61,0.07,0.68,0.61,0.68,Matches,2021-2022,4.0
32,Ilias Akhomach,ma MAR,Barcelona,FW,17.0,,2,124.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.6,0.7,7.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.11,0.43,0.54,0.11,0.54,Matches,2021-2022,2.0
33,Emerson,br BRA,Barcelona,DF,22.0,,1,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,3.0
34,Samuel Umtiti,fr FRA,Barcelona,DF,27.0,,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,1.0
35,Alvaro Sanz,es ESP,Barcelona,MF,20.0,,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,2021-2022,2.0
36,Estanis,es ESP,Barcelona,FW,17.0,,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,1.0
37,Mika Màrmol,es ESP,Barcelona,DF,19.0,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,1.0
0,Jeremías Ledesma,ar ARG,Cadiz,GK,28.0,,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,38.0
1,Alfonso Espino,uy URU,Cadiz,DF,29.0,,37,3329.0,37.0,2.0,2.0,4.0,2.0,0.0,0.0,6.0,0.0,1.7,1.5,2.5,4.0,62.0,124.0,123.0,0.05,0.05,0.11,0.05,0.11,0.05,0.07,0.11,0.04,0.11,Matches,2021-2022,37.0
2,Álvaro Negredo,es ESP,Cadiz,FW,35.0,,24,2157.0,24.0,7.0,2.0,9.0,5.0,2.0,3.0,3.0,0.0,7.3,4.9,2.7,7.6,20.0,50.0,104.0,0.29,0.08,0.38,0.21,0.29,0.3,0.11,0.42,0.21,0.32,Matches,2021-2022,34.0
3,Fali,es ESP,Cadiz,"DF,MF",27.0,,23,1803.0,20.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.7,0.7,1.4,2.0,9.0,49.0,6.0,0.0,0.1,0.1,0.0,0.1,0.03,0.07,0.1,0.03,0.1,Matches,2021-2022,28.0
4,Álex Fernández,es ESP,Cadiz,MF,28.0,,22,2051.0,22.8,3.0,2.0,5.0,2.0,1.0,2.0,2.0,0.0,3.0,1.5,1.3,2.7,48.0,122.0,44.0,0.13,0.09,0.22,0.09,0.18,0.13,0.06,0.19,0.06,0.12,Matches,2021-2022,32.0
5,Carlos Akapo,gq EQG,Cadiz,DF,28.0,,21,1844.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.5,0.5,0.3,0.8,35.0,51.0,52.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches,2021-2022,25.0
6,Anthony Lozano,hn HON,Cadiz,"FW,MF",28.0,,21,1672.0,18.6,7.0,2.0,9.0,7.0,0.0,0.0,8.0,0.0,5.1,5.0,0.9,5.9,43.0,25.0,84.0,0.38,0.11,0.48,0.38,0.48,0.27,0.05,0.32,0.27,0.32,Matches,2021-2022,31.0
7,Víctor Chust,es ESP,Cadiz,DF,21.0,,20,1830.0,20.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,0.0,0.7,17.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,2021-2022,25.0
8,Rubén Sobrino,es ESP,Cadiz,"FW,MF",29.0,,19,1861.0,20.7,4.0,1.0,5.0,4.0,0.0,0.0,4.0,0.0,5.4,5.3,1.8,7.1,36.0,38.0,87.0,0.19,0.05,0.24,0.19,0.24,0.26,0.09,0.35,0.26,0.35,Matches,2021-2022,33.0
9,Isaac Carcelen,es ESP,Cadiz,"DF,MF",28.0,,17,1544.0,17.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.5,0.9,29.0,62.0,32.0,0.0,0.06,0.06,0.0,0.06,0.02,0.03,0.05,0.02,0.05,Matches,2021-2022,25.0
10,Salvi,es ESP,Cadiz,"MF,FW",30.0,,17,1395.0,15.5,2.0,1.0,3.0,2.0,0.0,1.0,3.0,1.0,2.6,1.8,1.2,3.0,36.0,25.0,88.0,0.13,0.06,0.19,0.13,0.19,0.17,0.08,0.24,0.12,0.19,Matches,2021-2022,23.0
11,Jens Jønsson,dk DEN,Cadiz,MF,28.0,,17,1303.0,14.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.9,1.3,4.0,20.0,13.0,0.0,0.07,0.07,0.0,0.07,0.03,0.06,0.09,0.03,0.09,Matches,2021-2022,22.0
12,Varazdat Haroyan,am ARM,Cadiz,DF,28.0,,16,1437.0,16.0,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.7,0.7,0.1,0.8,5.0,22.0,5.0,0.06,0.0,0.06,0.06,0.06,0.05,0.01,0.05,0.05,0.05,Matches,2021-2022,17.0
13,Tomás Alarcón,cl CHI,Cadiz,MF,22.0,,16,1425.0,15.8,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.1,1.1,1.1,2.2,6.0,55.0,13.0,0.0,0.06,0.06,0.0,0.06,0.07,0.07,0.14,0.07,0.14,Matches,2021-2022,23.0
14,Luis Hernández,es ESP,Cadiz,DF,32.0,,15,1366.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.5,0.5,0.2,0.7,7.0,58.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.05,0.03,0.05,Matches,2021-2022,16.0
15,Rubén Alcaraz,es ESP,Cadiz,MF,30.0,,12,1105.0,12.3,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,1.3,1.3,0.9,2.3,26.0,87.0,21.0,0.16,0.0,0.16,0.16,0.16,0.11,0.08,0.18,0.11,0.18,Matches,2021-2022,14.0
16,Iván Alejo,es ESP,Cadiz,"MF,FW",26.0,,11,1065.0,11.8,2.0,2.0,4.0,2.0,0.0,0.0,7.0,0.0,1.4,1.4,1.8,3.2,63.0,25.0,88.0,0.17,0.17,0.34,0.17,0.34,0.12,0.15,0.27,0.12,0.27,Matches,2021-2022,20.0
